=================== STAGE A / arm routes / repeat 500 ===================
[nav-stress stress-A-routes-20260819105653] subject dist 2cce7616f7f96a0d  tests cf44d1061ebb87fa
[nav-stress stress-A-routes-20260819105653] server pid 82158 ready on 4322
[nav-stress stress-A-routes-20260819105653] arm=routes repeat=500 workers=5

Running 5000 tests using 5 workers

  ✓     4 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /branding.html responds and has a title and description (1.2s)
  ✓     5 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /kkv.html responds and has a title and description (1.3s)
  ✓     1 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /rolunk.html responds and has a title and description (1.3s)
  ✓     3 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /index.html responds and has a title and description (1.3s)
  ✓     2 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /nagyvallalat.html responds and has a title and description (1.3s)
  ✓    10 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /arajanlat.html responds and has a title and description (508ms)
  ✓     6 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /hirdeteskezeles.html responds and has a title and description (719ms)
  ✓     8 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /blog.html responds and has a title and description (593ms)
  ✓     7 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /impact-program.html responds and has a title and description (632ms)
  ✓     9 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /ugyfelszolgalat.html responds and has a title and description (601ms)
  ✓    14 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /branding.html responds and has a title and description (1.2s)
  ✓    13 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /kkv.html responds and has a title and description (1.2s)
  ✓    12 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /nagyvallalat.html responds and has a title and description (1.3s)
  ✓    11 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /rolunk.html responds and has a title and description (1.3s)
  ✓    15 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /index.html responds and has a title and description (1.5s)
  ✓    16 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /impact-program.html responds and has a title and description (940ms)
  ✓    18 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /blog.html responds and has a title and description (871ms)
  ✓    17 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /hirdeteskezeles.html responds and has a title and description (965ms)
  ✓    19 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /ugyfelszolgalat.html responds and has a title and description (868ms)
  ✓    20 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /arajanlat.html responds and has a title and description (747ms)
  ✓    25 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /branding.html responds and has a title and description (1.2s)
  ✓    22 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /kkv.html responds and has a title and description (1.2s)
  ✓    23 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /rolunk.html responds and has a title and description (1.3s)
  ✓    24 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /nagyvallalat.html responds and has a title and description (1.4s)
  ✓    21 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /index.html responds and has a title and description (1.4s)
  ✓    27 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /impact-program.html responds and has a title and description (803ms)
  ✓    26 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /hirdeteskezeles.html responds and has a title and description (841ms)
  ✓    28 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /blog.html responds and has a title and description (762ms)
  ✓    30 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /arajanlat.html responds and has a title and description (702ms)
  ✓    29 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /ugyfelszolgalat.html responds and has a title and description (762ms)
  ✓    34 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /branding.html responds and has a title and description (1.3s)
  ✓    32 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /kkv.html responds and has a title and description (1.3s)
  ✓    33 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /rolunk.html responds and has a title and description (1.3s)
  ✓    31 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /index.html responds and has a title and description (1.3s)
  ✓    35 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /nagyvallalat.html responds and has a title and description (1.4s)
  ✓    37 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /impact-program.html responds and has a title and description (702ms)
  ✓    39 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /ugyfelszolgalat.html responds and has a title and description (647ms)
  ✓    36 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /hirdeteskezeles.html responds and has a title and description (728ms)
  ✓    38 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /blog.html responds and has a title and description (683ms)
  ✓    40 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /arajanlat.html responds and has a title and description (611ms)
  ✓    43 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /kkv.html responds and has a title and description (1.1s)
  ✓    44 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /branding.html responds and has a title and description (1.2s)
  ✓    42 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /rolunk.html responds and has a title and description (1.2s)
  ✓    45 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /nagyvallalat.html responds and has a title and description (1.2s)
  ✓    41 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /index.html responds and has a title and description (1.3s)
  ✓    47 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /impact-program.html responds and has a title and description (669ms)
  ✓    46 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /hirdeteskezeles.html responds and has a title and description (697ms)
  ✓    48 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /blog.html responds and has a title and description (688ms)
  ✓    50 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /arajanlat.html responds and has a title and description (593ms)
  ✓    49 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /ugyfelszolgalat.html responds and has a title and description (724ms)
  ✓    53 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /kkv.html responds and has a title and description (1.2s)
  ✓    55 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /branding.html responds and has a title and description (1.2s)
  ✓    51 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /rolunk.html responds and has a title and description (1.3s)
  ✓    52 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /index.html responds and has a title and description (1.4s)
  ✓    54 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /nagyvallalat.html responds and has a title and description (1.4s)
  ✓    57 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /impact-program.html responds and has a title and description (741ms)
  ✓    56 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /hirdeteskezeles.html responds and has a title and description (791ms)
  ✓    58 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /blog.html responds and has a title and description (769ms)
  ✓    59 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /ugyfelszolgalat.html responds and has a title and description (714ms)
  ✓    60 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /arajanlat.html responds and has a title and description (673ms)
  ✓    63 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /branding.html responds and has a title and description (1.3s)
  ✓    64 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /kkv.html responds and has a title and description (1.3s)
  ✓    61 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /rolunk.html responds and has a title and description (1.4s)
  ✓    62 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /index.html responds and has a title and description (1.4s)
  ✓    65 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /nagyvallalat.html responds and has a title and description (1.4s)
  ✓    67 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /impact-program.html responds and has a title and description (691ms)
  ✓    70 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /arajanlat.html responds and has a title and description (554ms)
  ✓    69 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /ugyfelszolgalat.html responds and has a title and description (630ms)
  ✓    66 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /hirdeteskezeles.html responds and has a title and description (789ms)
  ✓    68 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /blog.html responds and has a title and description (691ms)
  ✓    75 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /branding.html responds and has a title and description (1.2s)
  ✓    73 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /kkv.html responds and has a title and description (1.2s)
  ✓    71 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /rolunk.html responds and has a title and description (1.3s)
  ✓    74 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /nagyvallalat.html responds and has a title and description (1.5s)
  ✓    72 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /index.html responds and has a title and description (1.5s)
  ✓    76 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /impact-program.html responds and has a title and description (840ms)
  ✓    77 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /hirdeteskezeles.html responds and has a title and description (896ms)
  ✓    78 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /blog.html responds and has a title and description (856ms)
  ✓    80 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /arajanlat.html responds and has a title and description (687ms)
  ✓    79 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /ugyfelszolgalat.html responds and has a title and description (762ms)
  ✓    85 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /branding.html responds and has a title and description (1.4s)
  ✓    83 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /kkv.html responds and has a title and description (1.4s)
  ✓    82 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /rolunk.html responds and has a title and description (1.4s)
  ✓    84 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /nagyvallalat.html responds and has a title and description (1.5s)
  ✓    81 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /index.html responds and has a title and description (1.7s)
