label,class,server,path,wait,mode,action,rate,timeoutMs,n,ok,fail,failRate,p50,p95,p99,max,boundaries,load1Start,load1End,startedAt
smoke,CONTROLLED,nav,/kkv.html,load,new-context,goto,serial,30000,12,12,0,0.000000,66.2,147.9,147.9,147.9,"SUCCESS=12",2.02,2.02,2026-08-17T09:40:57.728Z
A1-kkv-serial,CONTROLLED,nav,/kkv.html,load,new-context,goto,serial,30000,1500,1500,0,0.000000,72.6,80.1,85.2,162.5,"SUCCESS=1500",1.52,3.58,2026-08-17T09:41:32.435Z
B1-kkv-x5w4,CONTROLLED,none,/kkv.html,load,new-context,goto,serial,30000,1000,1000,0,0.000000,184.4,261.8,428.9,632.7,"SUCCESS=1000",2.42,18.25,2026-08-17T09:48:23.217Z
B1-kkv-x5w2,CONTROLLED,none,/kkv.html,load,new-context,goto,serial,30000,1000,1000,0,0.000000,185.2,267,421.5,588.7,"SUCCESS=1000",2.42,18.25,2026-08-17T09:48:23.217Z
B1-kkv-x5w1,CONTROLLED,none,/kkv.html,load,new-context,goto,serial,30000,1000,1000,0,0.000000,184.3,266,434.7,555.5,"SUCCESS=1000",2.42,18.25,2026-08-17T09:48:23.214Z
B1-kkv-x5w5,CONTROLLED,none,/kkv.html,load,new-context,goto,serial,30000,1000,1000,0,0.000000,185.5,272.1,451.8,574.5,"SUCCESS=1000",2.42,18.25,2026-08-17T09:48:23.218Z
B1-kkv-x5w3,CONTROLLED,none,/kkv.html,load,new-context,goto,serial,30000,1000,1000,0,0.000000,185.6,271.9,438.8,628.9,"SUCCESS=1000",2.42,18.25,2026-08-17T09:48:23.218Z
S1-sat10w8,CONTAMINATED,none,/kkv.html,load,new-context,goto,serial,30000,700,700,0,0.000000,720.6,1093.7,1296,1509.1,"SUCCESS=700",21.63,71.19,2026-08-17T11:40:40.302Z
S1-sat10w4,CONTAMINATED,none,/kkv.html,load,new-context,goto,serial,30000,700,700,0,0.000000,718.6,1103.4,1332.5,1903.6,"SUCCESS=700",21.63,71.19,2026-08-17T11:40:40.276Z
S1-sat10w5,CONTAMINATED,none,/kkv.html,load,new-context,goto,serial,30000,700,700,0,0.000000,714.8,1100.7,1342.7,1425.5,"SUCCESS=700",21.63,71.19,2026-08-17T11:40:40.302Z
S1-sat10w1,CONTAMINATED,none,/kkv.html,load,new-context,goto,serial,30000,700,700,0,0.000000,716.5,1107.3,1278.6,1506,"SUCCESS=700",21.63,71.19,2026-08-17T11:40:40.282Z
S1-sat10w6,CONTAMINATED,none,/kkv.html,load,new-context,goto,serial,30000,700,700,0,0.000000,722.7,1084.1,1362.1,1589.5,"SUCCESS=700",21.63,71.19,2026-08-17T11:40:40.307Z
S1-sat10w2,CONTAMINATED,none,/kkv.html,load,new-context,goto,serial,30000,700,700,0,0.000000,723.6,1092.1,1313.2,1499.6,"SUCCESS=700",21.63,71.19,2026-08-17T11:40:40.242Z
S1-sat10w9,CONTAMINATED,none,/kkv.html,load,new-context,goto,serial,30000,700,700,0,0.000000,727.9,1083.8,1302.1,1792.6,"SUCCESS=700",21.63,71.19,2026-08-17T11:40:40.383Z
S1-sat10w10,CONTAMINATED,none,/kkv.html,load,new-context,goto,serial,30000,700,700,0,0.000000,733.6,1122.9,1296.7,1597.2,"SUCCESS=700",21.63,71.19,2026-08-17T11:40:40.316Z
S1-sat10w3,CONTAMINATED,none,/kkv.html,load,new-context,goto,serial,30000,700,700,0,0.000000,734,1096.4,1299.9,1432.1,"SUCCESS=700",21.63,66.61,2026-08-17T11:40:40.294Z
S1-sat10w7,CONTAMINATED,none,/kkv.html,load,new-context,goto,serial,30000,700,700,0,0.000000,728.7,1094.2,1340,1782.5,"SUCCESS=700",21.63,66.61,2026-08-17T11:40:40.345Z
S2-mixedw4,CONTAMINATED,none,/index.html|/kkv.html,load,new-context,goto,serial,30000,250,250,0,0.000000,261.6,534.2,897.1,1202.1,"SUCCESS=250",61.68,35.33,2026-08-17T11:55:03.634Z
S2-mixedw1,CONTAMINATED,none,/index.html|/kkv.html,load,new-context,goto,serial,30000,250,250,0,0.000000,254.3,541.9,822.2,1160.4,"SUCCESS=250",61.68,35.33,2026-08-17T11:55:03.626Z
S2-mixedw3,CONTAMINATED,none,/index.html|/kkv.html,load,new-context,goto,serial,30000,250,250,0,0.000000,266.5,576.7,820,1063.4,"SUCCESS=250",61.68,35.33,2026-08-17T11:55:03.638Z
S2-mixedw2,CONTAMINATED,none,/index.html|/kkv.html,load,new-context,goto,serial,30000,250,250,0,0.000000,256.2,544.6,920.5,976,"SUCCESS=250",61.68,35.33,2026-08-17T11:55:03.634Z
